File,Quantify Strategy,Mode,PSNR,SSIM,Compression Rate
kodim01.png,"[8, 8, 8]",RGB,52.20416487181516,0.9993176431803672,0.0
kodim01.png,"[8, 8, 8]",YUV,51.00580064944988,0.9977469035480314,-0.1428571428571428
kodim01.png,"[8, 8, 4]",RGB,49.86807326685223,0.9989025029176772,0.1666666666666666
kodim01.png,"[8, 8, 4]",YUV,50.98428522963685,0.9977502792798498,0.0476190476190476
kodim01.png,"[8, 8, 0]",RGB,26.74938133388126,0.9722428436578092,0.2916666666666666
kodim01.png,"[8, 8, 0]",YUV,31.216912622809755,0.9114743166917731,0.1904761904761904
kodim01.png,"[8, 4, 0]",RGB,26.708608245540333,0.9723852111162474,0.4583333333333333
kodim01.png,"[8, 4, 0]",YUV,31.158821675879995,0.9118105754277542,0.3809523809523809
kodim02.png,"[8, 8, 8]",RGB,50.78348922826216,0.9979260831619348,0.0
kodim02.png,"[8, 8, 8]",YUV,51.30427883950165,0.9965350418894572,-0.1428571428571428
kodim02.png,"[8, 8, 4]",RGB,49.671802714753625,0.9969843996281312,0.1666666666666666
kodim02.png,"[8, 8, 4]",YUV,51.36964403837423,0.9965686748661208,0.0476190476190476
kodim02.png,"[8, 8, 0]",RGB,27.041687671277693,0.9254831615537826,0.2916666666666666
kodim02.png,"[8, 8, 0]",YUV,31.47963457699476,0.7167509517021403,0.1904761904761904
kodim02.png,"[8, 4, 0]",RGB,26.947679857256336,0.9246859958997669,0.4583333333333333
kodim02.png,"[8, 4, 0]",YUV,31.368875770454,0.7190347109020846,0.3809523809523809
kodim05.png,"[8, 8, 8]",RGB,51.15650503664227,0.9992709204503336,0.0
kodim05.png,"[8, 8, 8]",YUV,50.8670928601821,0.997837405640933,-0.0434782608695651
kodim05.png,"[8, 8, 4]",RGB,39.4505149887351,0.996354065968039,0.1666666666666666
kodim05.png,"[8, 8, 4]",YUV,44.9137763311568,0.986390132664341,0.1304347826086956
kodim05.png,"[8, 8, 0]",RGB,14.287057405208616,0.912251105316244,0.2916666666666666
kodim05.png,"[8, 8, 0]",YUV,18.816640192121326,0.5957463360668454,0.2608695652173913
kodim05.png,"[8, 4, 0]",RGB,14.279006968215118,0.9119707920973094,0.4583333333333333
kodim05.png,"[8, 4, 0]",YUV,18.79919036111851,0.5954767598014467,0.4347826086956522
kodim13.png,"[8, 8, 8]",RGB,50.97079820891653,0.9995219693172994,0.0
kodim13.png,"[8, 8, 8]",YUV,52.428622084846765,0.9980437536219254,-0.0909090909090908
kodim13.png,"[8, 8, 4]",RGB,48.5607696731168,0.999284610577824,0.1666666666666666
kodim13.png,"[8, 8, 4]",YUV,49.59142796102776,0.9959913016970178,0.0909090909090909
kodim13.png,"[8, 8, 0]",RGB,25.02552028144241,0.9766184298948009,0.2916666666666666
kodim13.png,"[8, 8, 0]",YUV,28.70449624138885,0.9655742136662436,0.2272727272727273
kodim13.png,"[8, 4, 0]",RGB,24.857452351326195,0.9753997825411524,0.4583333333333333
kodim13.png,"[8, 4, 0]",YUV,28.603335707456303,0.961551374154678,0.409090909090909
kodim23.png,"[8, 8, 8]",RGB,51.12747375122921,0.997555330154684,0.0
kodim23.png,"[8, 8, 8]",YUV,51.20973717705183,0.996651900492077,0.0
kodim23.png,"[8, 8, 4]",RGB,42.81935641458428,0.9909207905367396,0.1666666666666666
kodim23.png,"[8, 8, 4]",YUV,47.12201555444379,0.9858267270313396,0.1666666666666666
kodim23.png,"[8, 8, 0]",RGB,18.22858093542723,0.91456357733516,0.2916666666666666
kodim23.png,"[8, 8, 0]",YUV,23.34038521777901,0.9009252266453908,0.2916666666666666
kodim23.png,"[8, 4, 0]",RGB,18.19864608607833,0.9141868651636408,0.4583333333333333
kodim23.png,"[8, 4, 0]",YUV,23.28988847584783,0.9002477809716573,0.45833333333333337
